iter	Passed	Remaining
469	751	847
470	752	845
471	754	843
472	755	842
473	757	840
474	758	838
475	760	836
476	761	835
477	763	833
478	765	832
479	766	830
480	768	829
481	769	827
482	771	825
483	772	824
484	774	822
485	775	820
486	777	818
487	778	817
488	780	815
489	782	814
490	783	812
491	785	811
492	787	809
493	788	807
494	790	806
495	791	804
496	793	803
497	795	801
498	796	799
499	798	798
500	799	796
501	801	794
502	802	793
503	804	791
504	806	790
505	808	788
506	809	787
507	811	785
508	812	783
509	814	782
510	815	780
511	817	778
512	818	777
513	820	775
514	821	774
515	823	772
516	824	770
517	826	769
518	828	767
519	829	765
520	830	764
521	832	762
522	834	760
523	835	759
524	837	758
525	839	756
526	841	754
527	842	753
528	844	751
529	845	750
530	847	748
531	848	746
532	850	745
533	852	743
534	853	742
535	855	740
536	856	738
537	858	737
538	859	735
539	861	733
540	863	732
541	864	730
542	866	729
543	867	727
544	869	725
545	870	723
546	872	722
547	874	721
548	875	719
549	877	717
550	878	716
551	880	714
552	882	713
553	883	711
554	885	709
555	887	708
556	888	706
557	890	705
558	891	703
559	893	701
560	894	700
561	896	698
562	898	697
563	899	695
564	901	693
565	902	692
566	904	690
567	905	689
568	907	687
569	908	685
570	910	684
571	912	682
572	914	681
573	915	679
574	916	677
575	918	676
576	920	674
577	921	672
578	923	671
579	924	669
580	926	668
581	928	666
582	929	664
583	931	663
584	933	661
585	934	660
586	936	658
587	937	657
588	939	655
589	941	654
590	942	652
591	944	650
592	946	649
593	947	647
594	949	646
595	950	644
596	952	642
597	953	641
598	955	639
599	956	637
600	958	636
601	960	634
602	961	633
603	963	631
604	964	629
605	966	628
606	967	626
607	969	625
608	971	623
609	972	621
610	974	620
611	975	618
612	977	617
613	978	615
614	980	613
615	982	612
616	983	610
617	985	609
618	987	607
619	988	606
620	990	604
621	993	603
622	994	602
623	996	600
624	998	599
625	1000	597
626	1002	596
627	1003	594
628	1005	593
629	1007	591
630	1009	590
631	1010	588
632	1012	587
633	1014	585
634	1016	584
635	1017	582
636	1020	581
637	1021	579
638	1023	578
639	1025	576
640	1027	575
641	1032	576
642	1035	575
643	1038	574
644	1041	573
645	1043	571
646	1046	571
647	1049	570
648	1052	569
649	1055	568
650	1057	567
651	1059	565
652	1061	564
653	1063	562
654	1065	561
655	1067	559
656	1069	558
657	1072	557
658	1074	555
659	1076	554
660	1077	552
