iter	Logloss
169	0.2540545817
170	0.2529447697
171	0.2523243516
172	0.2514063517
173	0.2504387255
174	0.2495102706
175	0.248479384
176	0.2474232426
177	0.2462819771
178	0.2454883081
179	0.2447263223
180	0.2440599512
181	0.2432442065
182	0.2423865354
183	0.241830349
184	0.2405583417
185	0.2398774359
186	0.2390813121
187	0.2383258254
188	0.2376681257
189	0.2365285026
190	0.2355886035
191	0.2350791295
192	0.2340823809
193	0.233059159
194	0.2322264777
195	0.2314765718
196	0.2302976184
197	0.2297960387
198	0.2287238439
199	0.2278811137
200	0.227111163
201	0.2263324172
202	0.2253268383
203	0.2244210596
204	0.2237718017
205	0.223069085
206	0.2223466944
207	0.2215950754
208	0.220868923
209	0.2203318101
210	0.2198367649
211	0.2191487242
212	0.218199571
213	0.2175748437
214	0.2168558262
215	0.2159265589
216	0.2151569967
217	0.2144337407
218	0.2135953903
219	0.2131355074
220	0.2123903345
221	0.2116619393
222	0.2110502808
223	0.2105814263
224	0.2096094555
225	0.2087342298
226	0.2079115797
227	0.2073449912
228	0.2067102856
229	0.2060932936
230	0.2054648046
231	0.2048169595
232	0.2041914551
233	0.2037035624
234	0.2031964196
235	0.2027066902
236	0.2023374769
237	0.2017354259
238	0.2014156271
239	0.2011964586
240	0.2007506688
241	0.2001482292
242	0.1995742939
243	0.1990204917
244	0.1983456435
245	0.1976327896
246	0.1970112235
247	0.1964426924
248	0.1959057737
249	0.1954597191
250	0.1947185552
251	0.1940575529
252	0.1934128337
253	0.1928152508
254	0.1924908073
255	0.1921357049
256	0.1916299043
257	0.1909220307
258	0.1902517743
259	0.1900623816
260	0.1895168269
261	0.1889956086
262	0.1885263655
263	0.1878894523
264	0.1876827876
265	0.1872416426
266	0.1868074205
267	0.1863031387
268	0.185788914
269	0.1852374253
270	0.1846649735
271	0.184196843
272	0.1838077086
273	0.183138918
274	0.1825773804
275	0.1820474907
276	0.18156366
277	0.1810967481
278	0.1805917599
279	0.1801097658
280	0.1797831677
281	0.179081334
282	0.1786481186
283	0.1781992382
284	0.1779410751
285	0.1776567742
286	0.1770090527
287	0.1766137547
288	0.1759108084
289	0.1754384571
290	0.1749342989
291	0.17478187
292	0.1743167771
293	0.1737351947
294	0.1733983711
295	0.1729208099
296	0.1723986025
297	0.1719780321
298	0.1715291694
299	0.1712462814
300	0.1708518134
301	0.1704524358
302	0.169962777
303	0.1695261708
304	0.1693100223
305	0.1689407561
306	0.1685486546
307	0.1681753794
308	0.1678021219
309	0.1674531654
310	0.1671510449
311	0.1667798713
312	0.1663530844
313	0.1659275338
314	0.1655732614
315	0.1652001275
316	0.1650154149
317	0.1643735744
318	0.1639000222
319	0.163432969
320	0.1632452541
321	0.162690198
322	0.1621750019
323	0.1619211126
324	0.161492383
325	0.1610469465
326	0.1606769209
327	0.1600815455
328	0.1597209153
329	0.1594916979
330	0.1591900366
331	0.1588244968
332	0.1585112148
333	0.1582141452
334	0.1578292847
335	0.1575032693
336	0.1570734801
337	0.1568049678
338	0.156467791
339	0.1562464502
340	0.1557068295
341	0.155231935
342	0.154867808
343	0.1544070244
344	0.1540902279
345	0.1536753443
346	0.1533805706
347	0.1530993073
348	0.1527747931
349	0.1524171299
350	0.1520075445
351	0.1519057839
352	0.1515591939
353	0.1510796017
354	0.1508387813
355	0.1505378617
356	0.15022571
357	0.149896763
358	0.1495790835
359	0.1494376571
360	0.1490803471
361	0.1487009614
362	0.1484347979
363	0.1481030517
364	0.1478240225
365	0.1473728727
366	0.1470510695
367	0.1467625477
368	0.1464855759
369	0.1462564468
370	0.1458629855
371	0.1456491152
372	0.1455043863
373	0.1452368807
374	0.1449873006
375	0.144472599
376	0.1441380889
377	0.143910046
378	0.1435676504
379	0.1432500945
380	0.1428692341
381	0.1426287757
382	0.1424599047
383	0.1422020506
384	0.1417767737
385	0.1415738706
386	0.1411975931
387	0.1407879017
388	0.1404900551
389	0.1401967473
390	0.1399648631
391	0.1397329525
392	0.1395382793
393	0.1393062539
394	0.138967726
395	0.1388613383
396	0.1384697843
397	0.1381840529
398	0.1379600189
399	0.1376237163
400	0.1374956855
401	0.1371247415
402	0.1368103999
403	0.1366347384
404	0.1362670528
405	0.136069545
406	0.1356998196
407	0.1353832086
408	0.1349141509
409	0.1345639052
410	0.1342667827
411	0.1338094429
412	0.1336536143
413	0.1334642569
414	0.1331597258
415	0.1330392272
416	0.1327072426
417	0.1324698042
418	0.1323372611
419	0.132175057
420	0.1318372532
421	0.1315739596
422	0.1311661226
423	0.1309066084
424	0.1306715277
425	0.130440032
426	0.1301659566
427	0.1298405329
428	0.1295949088
429	0.1295078419
430	0.1293981693
431	0.1293118265
432	0.1291559537
433	0.1288762269
434	0.1284437798
435	0.1281589932
436	0.1278299932
437	0.1276037958
438	0.1272856748
439	0.1270929972
440	0.1268825089
441	0.1266096256
442	0.1264265555
443	0.1262430792
444	0.1259565177
445	0.1257359187
446	0.1254706383
447	0.1251772951
448	0.1249159089
449	0.1245533714
450	0.124316295
451	0.1239507375
452	0.1236667456
453	0.1233786477
454	0.1231087755
455	0.1228895364
456	0.1227545208
457	0.122579292
458	0.1224873507
459	0.1222698512
460	0.1219959259
461	0.1216675529
462	0.1213841968
463	0.1212621971
464	0.1210742527
465	0.1208374765
466	0.1206935247
467	0.1206068816
468	0.1203575929
469	0.1202293855
470	0.1200838619
471	0.1198283037
472	0.1196037398
473	0.1194975111
474	0.1193975696
475	0.1192805326
476	0.1190069516
477	0.1187744406
478	0.1184279742
479	0.1182123202
480	0.1179428542
481	0.117787211
482	0.1174912541
483	0.1171311979
484	0.1169615322
485	0.1166973644
486	0.1163830581
487	0.1161070488
488	0.1160050498
489	0.1158067297
490	0.1156155268
491	0.1153068807
492	0.1150884982
493	0.1148196856
494	0.1145702115
495	0.1143525353
496	0.114202676
497	0.1141400161
498	0.1139615553
499	0.1137403559
500	0.1135731097
501	0.1134038501
502	0.1131578198
503	0.1130074395
504	0.1127869995
505	0.1126098633
506	0.1124179275
507	0.112288943
508	0.1120825344
509	0.1118660503
510	0.1115700139
511	0.1113597287
512	0.1111338845
513	0.1110101541
514	0.1107193364
515	0.1105112146
516	0.1103536906
517	0.1101314933
518	0.1098583539
519	0.1096267877
520	0.1093957159
521	0.1092577687
522	0.1091087129
523	0.1089809912
524	0.1088912134
525	0.1086091819
526	0.1085371441
527	0.1084246459
528	0.1083762557
529	0.1082902926
530	0.1081049884
531	0.1079134588
532	0.1077336735
533	0.1075597692
534	0.10736031
535	0.1072056647
536	0.107039116
537	0.1069240217
538	0.1068522312
539	0.1066185457
540	0.1064820996
541	0.1064220093
542	0.1061167364
543	0.1058869274
544	0.105669675
545	0.1056018317
546	0.1054937751
547	0.1052710657
548	0.1050613545
549	0.104854884
550	0.1047169456
551	0.104669253
552	0.1045225815
553	0.1043417542
554	0.1041146561
555	0.1038557777
556	0.1037173801
557	0.1036047494
558	0.10337366
559	0.1032694004
560	0.1030220809
561	0.1028741642
562	0.1027878567
563	0.1027341419
564	0.1024419378
565	0.1022882726
566	0.1020120868
567	0.1019794676
568	0.1017298522
569	0.1016528518
570	0.1014100887
571	0.1013283288
572	0.1010676137
573	0.1008081436
574	0.1006630968
575	0.1005199309
576	0.1003230413
577	0.1000842783
578	0.09987488499
579	0.09966497068
580	0.09955778828
581	0.09944747995
582	0.09935378145
583	0.09924742028
584	0.0990496035
585	0.09894323349
586	0.09887474555
587	0.09865179768
588	0.09837878192
589	0.09833567231
590	0.09823084761
591	0.09817756547
592	0.09789515425
593	0.09769857371
594	0.09756257799
595	0.09738993645
596	0.09724505742
597	0.09708854887
598	0.09678527161
599	0.0965922232
600	0.09634960139
601	0.09610578749
602	0.09603057084
603	0.09589122843
604	0.09579677052
605	0.09564332609
606	0.09553616135
607	0.09539288945
608	0.09528938046
609	0.09513038176
610	0.09512205477
611	0.09502734961
612	0.09482880875
613	0.09469311326
614	0.09458016466
615	0.09446628888
616	0.09429491008
617	0.0942156933
618	0.09410179103
619	0.09390641142
620	0.09373899742
621	0.09370201605
622	0.09357394112
623	0.09341877478
624	0.09327985622
625	0.09316062044
626	0.09307282942
627	0.09297711761
628	0.09280848503
629	0.09262480559
630	0.09244995647
631	0.09236349883
632	0.09223552103
633	0.09214805674
634	0.09203116982
635	0.0918836417
636	0.09175159313
637	0.09149077204
638	0.09137719649
639	0.09124676387
640	0.09114792612
641	0.09102440763
642	0.09079911974
643	0.09066536691
644	0.09052756981
645	0.09032929385
646	0.09025022719
647	0.09005294906
648	0.08995508265
649	0.08986305307
650	0.08974317268
651	0.08964952716
652	0.08962879358
653	0.08945019157
654	0.08929269402
655	0.08920143269
656	0.08908840462
657	0.08901031812
658	0.08887812826
659	0.08873356713
660	0.08858147374
661	0.08838342737
662	0.08831406523
663	0.0882084458
664	0.08807696237
665	0.08798556858
666	0.08786703039
667	0.08776754803
668	0.08763247949
669	0.08758302971
670	0.0874179999
671	0.0871980985
672	0.08709633792
673	0.08685685087
674	0.08681088907
675	0.08667234138
676	0.08664967396
677	0.08648293107
678	0.08646044908
679	0.08633850239
680	0.08619114205
681	0.08606846244
682	0.08596609257
683	0.08582977012
684	0.08569424241
685	0.08562600171
686	0.08534632789
687	0.08517507271
688	0.08498500895
689	0.08492547494
690	0.08470802837
691	0.08459868254
692	0.08442235876
693	0.08422676722
694	0.08419909301
695	0.08415673397
696	0.0839558619
697	0.08380534914
698	0.0836632605
699	0.08346103739
700	0.08339827149
701	0.08331577866
702	0.08308279073
703	0.08291288658
704	0.08283185076
705	0.08266892257
706	0.08248890771
707	0.08231904772
708	0.08212702363
709	0.08204068078
710	0.08201623846
711	0.08189792103
712	0.08171314663
713	0.08159702796
714	0.08152748037
715	0.08138932122
716	0.08123405774
717	0.08109366452
718	0.08105166753
719	0.08094861772
720	0.08075749433
721	0.08060750255
722	0.08050033781
723	0.08036043026
724	0.08024247487
725	0.08011384364
726	0.07996326906
727	0.07983670411
728	0.07968913184
729	0.07966734745
730	0.0795287821
731	0.07951145702
732	0.07938762947
733	0.07929743661
734	0.07926342222
735	0.07914678256
736	0.07897774378
737	0.07885242392
738	0.07872314806
739	0.07859021646
740	0.07845209263
741	0.07827461207
742	0.07813964067
743	0.07799184764
744	0.07776225938
745	0.07774493429
746	0.07760514153
747	0.07740870229
748	0.07735954391
749	0.07728921926
750	0.07716004054
751	0.07698933283
752	0.07696421941
753	0.07688221225
754	0.07677532125
755	0.07660069289
756	0.07649300717
757	0.07644196793
758	0.076355369
759	0.07620105037
760	0.07603800738
761	0.07589970695
762	0.07578902774
763	0.07566159743
764	0.07549638218
765	0.07537471807
766	0.0752579901
767	0.07503865383
768	0.07488515642
769	0.07474503694
770	0.07455522043
771	0.07438813315
772	0.07436645472
773	0.07434190644
774	0.07418187459
775	0.07411794309
776	0.07402574575
777	0.07393048869
778	0.07389192228
779	0.0737473479
780	0.07360877814
781	0.07345725872
782	0.07341727504
783	0.07323631534
784	0.07310412548
785	0.07307610688
786	0.07304164657
787	0.07285384779
788	0.07277528003
789	0.07267767412
790	0.07249531039
791	0.07238699772
792	0.07231101725
793	0.07216731707
794	0.07202377584
795	0.07186057391
796	0.07184012289
797	0.07181867847
798	0.07172744804
799	0.07164242091
800	0.07158514305
801	0.07145552723
802	0.07130265677
803	0.0711697031
804	0.07105137684
805	0.07096025237
806	0.07077677162
807	0.07066411001
808	0.07054993841
809	0.07036036474
810	0.0702019091
811	0.07016177089
812	0.0701303173
813	0.0700575599
814	0.07003151046
815	0.06992152885
816	0.06976362511
817	0.06967655376
818	0.06954474802
819	0.06943073096
820	0.06936196486
821	0.06927680969
822	0.06909947925
823	0.06905838295
824	0.06902609048
825	0.06900741436
826	0.06882558929
827	0.06868883857
828	0.06855483408
829	0.06842737728
830	0.06841605681
831	0.06832465861
832	0.06825314628
833	0.06816430445
834	0.06813944269
835	0.06801276295
836	0.06784564036
837	0.06771344609
838	0.06767916238
839	0.06754223506
840	0.06738080802
841	0.06722452022
842	0.06712113486
843	0.06707501411
844	0.06695276278
845	0.06685826514
846	0.06672419001
847	0.06664960914
848	0.06658721853
849	0.06645753649
850	0.06635409373
851	0.06623702579
852	0.0660579337
853	0.06589772083
854	0.06576191937
855	0.06564584043
856	0.06550681591
857	0.06547353003
858	0.06534805121
859	0.06518273883
860	0.06508725219
861	0.0649998188
862	0.06483842267
863	0.06477178468
864	0.06474369102
865	0.06472488686
866	0.06463032299
867	0.06452499054
868	0.0644170973
869	0.06428142389
870	0.06425362605
871	0.06414376365
872	0.06399767487
873	0.063918957
874	0.06386876989
875	0.06381888301
876	0.06370932085
877	0.0636037853
878	0.06343324979
879	0.06332785553
880	0.0631877493
881	0.06307645197
882	0.06296083662
883	0.06285462115
884	0.06274092639
885	0.06262847229
886	0.06260279373
887	0.06250591631
888	0.06239951981
889	0.06238829648
890	0.06229327343
891	0.06223509047
892	0.06213418201
893	0.06208955359
894	0.06201890663
895	0.06191043501
896	0.06182071456
897	0.06180822408
898	0.06169512978
899	0.06167763692
900	0.06161458845
901	0.06148268117
902	0.06146131621
903	0.0613336519
904	0.06122675207
905	0.06120953736
906	0.06110704828
907	0.06105157623
908	0.06095895061
909	0.06087892144
910	0.06077852073
911	0.06076468362
912	0.06068681346
913	0.06067490136
914	0.06057257564
915	0.06056320226
916	0.06043201023
917	0.06029753773
918	0.06021226777
919	0.06005768423
920	0.06003692415
921	0.05993417016
922	0.05984503693
923	0.0597426803
924	0.0596396614
925	0.0596175547
926	0.05955308897
927	0.05945237478
928	0.05930769885
929	0.05923304734
930	0.05914138865
931	0.05901701362
932	0.05900851885
933	0.05890687748
934	0.05880112118
935	0.05866145646
936	0.05855823446
937	0.05844292817
938	0.05834983896
939	0.05823308009
940	0.05812818033
941	0.05806961766
942	0.05798482895
943	0.05784126564
944	0.05771591045
945	0.05763136016
946	0.05752092821
947	0.05737589465
948	0.05730007754
949	0.05718608256
950	0.0571079784
951	0.05695512118
952	0.05680033013
953	0.05676131778
954	0.05666132768
955	0.05657809752
956	0.05648705253
957	0.0564670916
958	0.05632773152
959	0.0562613187
960	0.0561848923
961	0.05607757745
962	0.05595772355
963	0.05593663675
964	0.05580566548
965	0.05566828339
966	0.05560036059
967	0.055481063
968	0.05542090646
969	0.05539825228
970	0.05531035971
971	0.05516861103
972	0.05504071712
973	0.05502423975
974	0.05494787958
975	0.05484823386
976	0.05475791737
977	0.05468295239
978	0.05458355833
979	0.05451462004
980	0.05447770931
981	0.05439105299
982	0.05429781808
983	0.05419981038
984	0.05408761236
985	0.05396185098
986	0.05391662651
987	0.05380567798
988	0.05367166025
989	0.05357717585
990	0.05348476657
991	0.05345911891
992	0.05337914273
993	0.05326194233
994	0.0531943595
995	0.05314537331
996	0.05311206977
997	0.05302555031
998	0.05292598406
999	0.05287641508
